s1d,s2d,s3d,s4d,s5d,s6d,s7d,s8d,s9d,s1c,s2c,s3c,s4c,s5c,s6c,s7c,s8c,s9c,action
-1,69.78968203134602,69.78968203134602,69.82082005469681,40.274899874738175,-1,35.000103214133524,69.90582000751336,35.04257731674427,False,True,True,True,True,False,True,True,True,1
-1,69.72476308015143,69.72476308015143,69.61408321576707,40.2375711863302,-1,35.00036571237505,70.11275410994008,35.08027365913782,False,True,True,True,True,False,True,True,True,1
-1,69.64256148416672,69.64256148416672,69.24804744426255,40.19043932800113,-1,35.00092891624448,70.47921316802042,35.25004638332423,False,True,True,True,True,False,True,True,True,1
-1,69.5690403203589,69.5690403203589,68.69781852730229,40.14841236097034,-1,35.00165138961302,71.0299853082529,35.41852621987504,False,True,True,True,True,False,True,True,True,1
-1,69.51715878783604,69.51715878783607,67.99072622901899,40.11882818765221,-1,35.00228563965495,71.73755513687797,35.614033793518836,False,True,True,True,True,False,True,True,True,1
-1,69.42207662649743,69.42207662649743,67.13942152622388,40.06476717221839,-1,35.003715517070454,72.58993744040936,35.86095269352211,False,True,True,True,True,False,True,True,True,1
-1,69.37887203969127,69.37887203969127,66.09873230560815,40.040269753511076,-1,35.00447971331669,73.63120654121519,36.124618276514795,False,True,True,True,True,False,True,True,True,1
-1,69.30976370817591,69.30976370817591,64.94369329379808,40.001172674381976,-1,35.00585093952152,74.78728822817209,36.42014566345961,False,True,True,True,True,False,True,True,True,1
-1,69.20182892232415,69.20182892232415,63.60727844283652,39.940327662030974,-1,35.00835935887312,76.12561728798534,36.76626704029488,False,True,True,True,True,False,True,True,True,1
-1,69.12846611356568,69.12846611356568,62.041671865688045,39.899123743249966,-1,35.01031990713592,77.69274518548757,37.13400530406523,False,True,True,True,True,False,True,True,True,1
-1,69.05512999216045,69.05512999216045,60.30688165977766,39.85805849772347,-1,35.012486701175625,79.42924467095295,37.52074989153079,False,True,True,True,True,False,True,True,True,1
-1,68.98182064322424,68.98182064322424,58.309191438828925,39.81713235451195,-1,35.01485970270337,81.33510946293525,37.92044341625285,False,True,True,True,True,False,True,True,True,1
-1,68.96457528470533,68.96457528470533,56.275645342291725,39.80752293580539,-1,35.0154480194099,83.37720853067802,38.29225625920786,False,True,True,True,True,False,True,True,True,1
-1,68.8352826048787,68.8352826048787,54.13949707789733,39.735699092809156,-1,35.02022415690682,85.52542809369831,38.70960495096629,False,True,True,True,True,False,True,True,True,1
-1,68.76205408736199,68.76205408736199,51.73756531450673,39.695192833932055,-1,35.02321551485529,88.04188529340543,39.10451867929994,False,True,True,True,True,False,True,True,True,1
-1,68.6888526861024,68.6888526861024,49.167312082800564,39.65482739657089,-1,35.02641289084564,90.63013387559894,39.611809781867855,False,True,True,True,True,False,True,True,True,1
-1,68.61567848788539,68.61567848788539,46.333308824915974,39.61460321119733,-1,35.02981622846456,93.38805281567876,40.009099704069335,False,True,True,True,True,False,True,True,True,1
-1,68.5425315798347,68.5425315798347,43.44986787007396,39.57452070852383,-1,35.03342546768727,96.3156380429354,40.37702112194488,False,True,True,True,True,False,True,True,True,1
-1,68.46941204941383,68.46941204941383,40.29791751009346,39.53458031948939,-1,35.037240544883055,99.41288596949319,40.7032910231093,False,True,True,True,True,False,True,True,True,1
-1,68.48231350270699,68.48231350270699,39.541618277799344,39.541618277799365,-1,35.03655234180438,102.62859282589804,40.9204654020969,False,True,True,True,True,False,True,True,True,1
-1,68.39631998442749,68.39631998442749,39.494782475245145,39.494782475245145,-1,35.04126139282089,105.87263919441135,41.11885013274243,False,True,True,True,True,False,True,True,True,1
-1,68.482313502707,68.482313502707,39.54161827779937,39.54161827779937,-1,35.03655234180437,109.20127192903183,41.13595790525916,False,True,True,True,True,False,True,True,True,1
-1,68.482313502707,68.482313502707,39.54161827779937,39.54161827779937,-1,35.036552341804395,112.38227306592117,41.14067379559581,False,True,True,True,True,False,True,True,True,1
-1,68.482313502707,68.482313502707,39.54161827779937,39.54161827779937,-1,35.036552341804395,115.56328790378541,41.14067379559581,False,True,True,True,True,False,True,True,True,1
-1,68.3963199844275,68.3963199844275,39.49478247524518,39.49478247524518,-1,35.04126139282088,118.90223021514092,41.19364967584066,False,True,True,True,True,False,True,True,True,1
-1,68.39631998442749,68.39631998442749,39.494782475245145,39.494782475245145,-1,35.04126139282089,122.29201660285653,41.19364967584066,False,True,True,True,True,False,True,True,True,1
-1,68.3963199844275,68.3963199844275,39.49478247524518,39.49478247524518,-1,35.04126139282088,125.68181662095301,41.19364967584066,False,True,True,True,True,False,True,True,True,1
