sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,action
23.263736887454964,27.330111518122987,37.26247415903336,68.01775721973259,100,left_forward
19.957070350481807,22.531412456194843,28.875267026801072,45.98935477258786,100,right_forward
18.227773382701418,21.49521266681845,29.203297870095096,53.373353755725574,100,right_forward
17.04747645880441,20.89634787552393,30.77811998997304,69.93052904935469,100,right_forward
16.274207206157218,21.073591145140437,34.296830383069576,100,100,right_forward
16.13436870627016,22.190434348369568,41.9061593966778,100,94.00515990545372,right_forward
16.608388905821474,24.88077321803746,59.949254475743544,100,71.70175507310812,right_forward
18.110961605300506,30.157976178803462,100,100,58.25459289452789,right_forward
20.97067696489337,41.14241297938602,100,91.43016391183133,49.030733367216996,right_forward
26.14395044418111,67.58331124902398,100,68.0071143506702,42.07693148965674,right_forward
35.437081122326504,100,100,53.50675030899437,36.57613388467912,right_forward
53.828282905175925,100,78.32818319599295,43.37779806787509,32.03847460568372,right_forward
99.36958192573977,100,56.49865158001022,35.75716510904347,27.998752700190042,left_forward
64.52300499892004,100,69.6792693312194,38.64722432135701,28.46664344149579,left_forward
48.916865529515796,100,97.6933589888892,43.74638773594828,29.983728115716872,left_forward
39.59818279586801,100,100,52.87578124560889,32.76975464819364,left_forward
33.11671627511114,64.81167330131359,100,69.7201678194549,37.414944118261474,left_forward
28.172060217036396,46.87128378497963,100,100,45.09561908707792,left_forward
24.070510605156397,35.893914276556956,86.72503236357267,100,58.09334500787169,left_forward
20.48859607640988,28.28114502709016,53.321273962625234,100,82.12276625805423,left_forward
17.218835861736217,22.29679777016878,36.287573671819345,100,100,right_forward
17.15391447034926,23.592668532726805,44.55424858315474,100,91.24358930711136,right_forward
17.722858192260144,26.550342598402203,63.97201690242864,100,69.65470365575163,right_forward
19.362494002482922,32.242000486501325,100,100,56.6159840538404,right_forward
22.413395076479244,43.972884521104746,100,88.84224650684469,47.65439680603201,right_forward
27.875878506616232,72.06042474242552,100,66.05788138310417,40.8671296540427,right_forward
37.63215551686329,100,100,51.924677261944545,35.49270587226871,left_forward
30.76266830469838,79.36618591796753,100,62.92218054652082,38.92131370508503,left_forward
25.748263719514902,50.2922896873755,100,82.97611395357168,44.55219750169451,left_forward
21.69742445700012,36.24175353025737,100,100,53.457346876784754,left_forward
18.29305446673272,27.4045449099792,66.13191191746583,100,68.60737008987081,left_forward
15.304444594483247,21.048996660164338,39.75057880044582,100,96.25311591362403,left_forward
12.415620334561156,16.077078497860327,26.165110184533603,92.585299683002,100,right_forward
11.879001901057904,16.46263604084578,31.000824204180578,100,100,right_forward
12.056042825643022,17.9705532312306,43.433571577735464,100,80.13707401917496,right_forward
12.998744811299792,21.645224859777443,89.00646195302295,100,65.0383117087565,right_forward
15.077511294022454,29.49962166220584,100,100,54.7637663561014,right_forward
19.06942984310499,49.119343218268924,100,76.06155320714201,47.08558402195808,forward
20.038882488936085,51.71800692559735,100,74.97515466295567,46.41179414138304,forward
21.008335134767187,54.220050573930244,100,73.88875611876932,45.73800426080798,forward
21.977787780598245,56.7220942222631,99.87798798896443,72.79975055155649,45.06421438023294,forward
22.947240426429346,59.22413787059595,96.14158276726613,71.60491537341575,44.39042449965791,forward
23.91669307226046,61.72618151892881,92.40219603666026,70.5138255650485,43.71663461908285,forward
24.886145718091544,64.3318283304305,88.6598645238325,69.42273575668128,43.04284473850781,forward
25.85559836392266,66.67015960228893,84.92171105085218,68.33164594831402,42.2765867440351,forward
26.82505100975373,66.38979288495634,81.18220547810161,67.2317606948361,41.6011630484959,forward
27.79450365558482,65.0238928364002,77.43946718133384,65.66818335863668,40.92397234069112,forward
28.763956301415888,63.06350206167163,73.70154622681896,63.679114136902,40.246781632886325,right
36.45591600036954,69.60621925557565,72.61134737006229,52.77624035606504,36.07326516658926,right
50.59485151030377,72.82914670413226,68.96420279334907,44.80803492056503,33.09735938045047,right
64.70195438280051,73.66039038696005,61.81019840684347,39.365094982965445,30.824910046212988,right
70.48978482321105,72.1099543436359,51.03414419934437,35.43703075078576,29.202215901984847,right
73.20865133877153,68.01381854233463,43.637549222409106,32.520355143910244,27.99216783705614,right
73.50077938708716,59.68229404076812,38.53312935435625,30.476158741744943,27.227343011194453,right
71.49023021367807,49.329953323983176,34.834043362126664,28.853284196101466,26.710035720221136,right
66.80357611549006,42.53902372299804,32.085067277302294,27.820572719800023,26.640170073160697,right
57.29921576923644,37.74790201032105,30.146133423897304,27.11754836317862,26.722585368127184,right
47.847635807492566,34.2626976384572,28.629279862493735,26.68489446780257,27.27824137611079,right
41.50739051803686,31.671404812835796,27.661038864651104,26.644164570601994,28.069878474875754,forward
35.83824760181494,27.41481310932848,23.931423784671512,23.045959881382366,24.292161289574562,forward
30.270412162776292,23.07259973049044,20.172718891543003,19.44140886955955,20.45820881774369,forward
24.571626028656418,18.80101772706435,16.438010883610314,15.84209309160175,16.670646183753952,forward
18.98896465028675,14.529435723638208,12.703302875677554,12.242777313643927,12.883083549764201,forward
13.406303271917084,10.257853720212116,8.968594867744853,8.643461535686116,9.095520915774502,forward
7.739745113819348,5.986271716785998,5.233886859812094,5.044145757728293,5.307958281784726,forward
2.1500325998061633,1.6772892491642786,1.4448299797704962,1.4448299797704962,1.4448299797704962,right
1.964761845926187,1.600409562651091,1.4448299797704962,1.4448299797704962,1.5773619028603392,right
1.7496066369864884,1.4448299797704962,1.4448299797704962,1.4448299797704962,1.649286281298945,right
